district,x,y
Mumbai City,-383,8
Mumbai Suburban,380,32
Thane,-335,52
Palghar,-369,106
Raigad,-358,-22
Ratnagiri,-333,-147
Sindhudurg,-300,-275
Pune,-278,-15
Satara,-215,-114
Sangli,-215,-187
Kolhapur,-265,-234
Solapur,-113,-105
Nashik,-237,150
Ahmednagar,-220,57
Dhule,-210,238
Nandurbar,-242,301
Jalgaon,-133,225
Chhatrapati Sambhajinagar,-153,123
Dharashiv,-52,-86
Latur,3,-45
Nanded,69,18
Parbhani,-16,51
Hingoli,33,87
Amravati,91,235
Akola,24,201
Washim,38,142
Buldhana,-38,182
Yavatmal,134,149
Nagpur,221,249
Wardha,177,209
Chandrapur,262,143
Gadchiroli,333,91
Bhandara,296,234
Gondia,342,245
